№; листа,имя файла,Место хранения гербарного листа,Вид,Административное деление,Территориальное деление,Территориальное деление № 2,Экологические условия,Экологические условия,,Почвенные условия,Дата сбора,Кто собрал,N,E
num,image,source,species,region,district,place,,,forest_type,soil_type,collection_date,collectors,latitude,longitude
114853,Судзух зап. сопка Туманная 13.07.99,МГУ,Rh mucronulatum,приморский край,Шкотовский район,кл.Туманный,,,широколиственный лес,,13.04.1944,"Плеудов, Покровский","43,036051","134,169059"
114841,Судзух запов мыс Туманный 29.07.44,МГУ,Rh mucronulatum,приморский край,Шкотовский район,вдоль гребня мыс. Туманного,,,широколиственный лес,,29.07.1944,"Плеудов, Покровский","43,036051","134,169059"
114839,Судзух заповед с. киевка 31.05.61,МГУ,Rh dahuricum,приморский край,Лазовский район,окр.с.Киевка сопка на С 1 зап.склон 45,,,дубняк,,31.05.1961,Л.Баекин,"42,90947","133,710164"
114829,"Хас. р. Кедров падь, сопка Чалбан 20.7.62",МГУ,Rh mucronulatum,приморский край,Хасанский район,зап. Кедровая Падь верш.соп.Чалбан,,,,сопка,20.07.1962,"Подугольная Н.А.,Губанов И.А.","43,115617","131,567113"
114819,шкот р.  с Лукьяновка 26.09.43,МГУ,Rh mucronulatum,приморский край,Шкотовский район,г. Пидан,,,,скальные выходы,26.09.1943,Г.В.Микешин,"43,132274","132,701632"
114836,шкот.р. Пидан 26.9.43,МГУ,Rh mucronulatum,приморский край,Шкотовский район,г. Пидан,,,,скальные выходы,26.09.1943,Г.В.Микешин,"43,132274","132,701632"
114884,D !! Хаб Вер-Бур р 14.8.99,Гер.МГУ,Rh dahuricum,хабаровский край,Верхнебуреинский р-н,"хр.Дуссе-Алинь,ельн-зеленомошник",,,темнохвойный лес,,14.08.1999,Б.Ф.Хасанов,"51,4","134,22"
114878,D Амур Зей зап 7.7.77,Гер.МГУ,Rh dahuricum,Амурская обл.,Зейский2 р-н,"Зейский заповедник,берез-осинов.лес",,,широколиственный лес,,07.07.1977,"М.Игнатов,Д.Петелин",,
114877,D Амур Зей зап 14.8.77,Гер.МГУ,Rh dahuricum,Амурская обл.,Зейский2 р-н,"Зейский заповедник,пр.б.р.Мотовой",,,,,14.08.1977,Г.Новиков,"54,090065","127,211751"
114887,D Амур Сковород р. 10.9.56,Гер.МГУ,Rh dahuricum,Амурская обл.,Сковородинский р-н,"орк.с.Сковородино,лиственно-берез.лес",,,широколиственный лес,,10.09.1956,Куваев,"53,99753","123,939156"
114871,D Амурск Завит 24.7.55,Гер.МГУ,Rh dahuricum,Амурская обл.,Завмтинский р-н,"ю-з д.Яносовка,заболоченная падь",,,,,24.07.1955,И.Губанов,,
114876,D Амурск Зей зап 24.8.77,Гер.МГУ,Rh dahuricum,Амурская обл.,Зейский зап.хр.Тукурингр,крутой каменистый склон,,,,каменистый склон,24.08.1977,И.Губанов,,
114874,D Амурск Зейск 16.8.77,Гер.МГУ,Rh dahuricum,Амурская обл.,Зейский р-н,"ю.скл.ю-в отрага хр.Тукурингра,дубняк",,,дубняк,,16.08.1977,Игнатов,,
114875,D Амурск Зейск зап 31.7.77,Гер.МГУ,Rh dahuricum,Амурская обл.,хр.Тукурингра,в.часть Зейского запов.подлесок в бер.лес.,,,березняк,,31.07.1977,Губанов,"55,797178","122,575586"
114950,D Бурятия 3.08.71,Гер.МГУ,Rh dahuricum,Бурятская АССР,Улан-Удэнский р-н,9км.по Баргузинск.тракт.сосн-бер. Лес,,,широколиственный лес,,03.08.1971,Т.А.Макеева,"51,876233","107,660941"
114951,D Бурятия 11.08.71,Гер.МГУ,,Бурятская АССР,Баргузинский р-н,"р.Алла, лес в пойме",,,,,11.08.1971,,"54,618951","110,8012"
114953,D Бурятия 18.7.54,Гер.МГУ,Rh dahuricum,Бурят-Монг.АИФ,хр.Кудунский,пер.и падь Безымян.склон сев.экспозю,,,,,12.07.1954,Фадеева,,
114937,D Бурятия 25.06.03,Гер.МГУ,Rh dahuricum,Респ.Бурятия,Прибайкальский р-н,"пр.бер.р.Черемшана, сосн-рододендр.лес",,,светлохвойный лес,,25.06.2003,Сун-ден-хо В.С.,,
114973,D Бурятск 4.8.12,Гер.МГУ,Rh dahuricum,Респ.Бурятия,Байкальский ГПБЗ,"ю.макросклон Хамар-Дабана,в.теч.р.Убур",,,,,04.08.2012,Н.Гамова,"51,27367","105,43922"
114972,D Бурятск 29.5.12,Гер.МГУ,Rh dahuricum,Респ.Бурятия,Мухоршибирский р-н,"бл.оз.Бугатэ-Нур,соснов посадки",,,светлохвойный лес,обочины/окресности нас.пунктов,29.05.2012,Л.Абрамова,"50,9805","107,3113"
114880,D ЕАО Биробидж 2.9.30,Гер.МГУ,Rh dahuricum,ДВ Биробиджан,Астраханов.-Махов.падью,на сопке,,,,,02.09.1930,Кац,"50,356559","127,614663"
114911,D ЕАО Облуч 8.8.04,Гер.МГУ,Rh dahuricum,Евр.Автоном.обл.,Облучинский р-н,"окр.с.Радде,береговые скалы",,,,скалистый берег реки,08.08.2004,Ермошкин,"48,587902","130,606851"
114909,D ЕАО Облуч 16.8.76,Гер.МГУ,Rh dahuricum,Евр.Автоном.обл.,Облучинский р-н,5км дорога от Радде на Дичун,,,,,16.08.1976,Исайкина,"48,588738","130,608695"
114967,D Забайк 7.7.29,Гер.МГУ,Rh dahuricum,окр.с.Слюдянкак,Шаманский мыс,в кустарниках,,,кустарник,,07.07.1929,М.Нигер?,"51,45","103,42"
114939,D Иркутск 11.08.88,Гер.МГУ,Rh dahuricum,в.б.оз.Байкал,"м.Крестовый,д.Максимих",осиного-сосновый лес,,,смешанный лес,,11.08.1988,Красноборов,"53,2","108,35"
114947,D Иркутск 1902,Гер.МГУ,,,,,,,,,16.03.1905,Богородский,,
114901,D Хаб к Бикин р 2.02.88,Гер.МГУ,Rh dahuricum,хабаровский край,окр.г.Бикин,с-в от гор.верх.часть осыпей южн.экспоз.,,,,каменистый склон,26.08.1983,Микулин,"46,873917","134,431978"
114905,D хаб к Вер Бур 23.8.87,Гер.МГУ,Rh dahuricum,хабаровский край,Верхнебуреинский р-н,"хр.Дуссе-Алинь,камен.россыпь,н.ч.склона",,,,каменистый склон,23.08.1987,"Галкина,Аникина","52,9","134,2"
114899,D Хаб к Вер Бур р 28.8.87,Гер.МГУ,Rh dahuricum,хабаровский край,Верхнебуреинский р-н,"хр.Дуссе-Алинь,листв-к вейн-брусн,склон",,,лиственичник,обочины/окресности нас.пунктов,28.08.1987,Петелин,"52,9","134,2"
114902,D Хаб к ВерБУр 10.8.89,Гер.МГУ,Rh dahuricum,хабаровский край,Верхнебуреинский р-н,"хр. Дуссе-Алинь,крутой камен.склон",,,,скальные выходы,10.08.1989,Петелин,"51,31","134,35"
114906,D Хаб к ВерБур 25.7.55,Гер.МГУ,Rh dahuricum,Амурская обл.,Завмтинский р-н,на ю-з от д.Поляны,,,дубняк,,25.08.1955,Губанов,,
114904,D Хаб к ВерБур р 5.8.89,Гер.МГУ,Rh dahuricum,хабаровский край,Верхнебуреинский р-н,"хр.Дуссе-Алинь, крутой камен.склон",,,,каменистый склон,05.08.1989,Курилин,"51,42","134,3"
114896,D Хаб к ВерБур р 11.7.88,Гер.МГУ,Rh dahuricum,хабаровский край,Верхнебуреинский р-н,"хр.Дуссе-Алинь,куст.заросл.р.Кутыма",,,кустарник,берег реки,11.07.1986,Петелин,"51,53","134,24"
114898,D Хаб к ВерБур р 31.8.87,Гер.МГУ,Rh dahuricum,хабаровский край,Верхнебуреинский р-н,"хр.Дуссе-Алинь,правобережье реки Ипата",,,,каменистый склон,31.08.1987,"Галкина,Аникина","52,1","134,22"
114895,D Хаб к ВерБур р. 21.7.88,Гер.МГУ,Rh dahuricum,хабаровский край,Верхнебуреинский р-н,"хр.Дусее-Алинь,елова-берез.лес,р.Кытыма",,,смешанный лес,,21.07.1988,"Берзина,Шаров","51,53","134,31"
114873,D Хаб к Верх-Бур 6.8.90,Гер.МГУ,Rh dahuricum,хабаровский край,Верхнебуреинский р-н,"хр.Дусее-Алинь,камен.россып,елов.лес",,,темнохвойный лес,скальные выходы,06.08.1990,Штрих,52,"134,53"
114893,D Хаб к. ВехБур  11.8.88,Гер.МГУ,Rh dahuricum,хабаровский край,Верхнебуреинский р-н,"хр.Дуссе-Алинь,крут.каман.склон",,,,каменистый склон,11.08.1988,"Кемниц,Петелин","51,43","134,33"
114885,D Хаб кр Вер-бур р. 14.08.89,Гер.МГУ,Rh dahuricum,хабаровский край,Верхнебуреинский р-н,"хр.Дусее-Алинь,уст.р.Чалхоз,ел-зеленмош",,,темнохвойный лес,,14.08.1089,Хасанов,"51,4","134,22"
114892,D Хаб р Вер-Бур 6.8.90,Гер.МГУ,Rh dahuricum,хабаровский край,Верхнебуреинский р-н,"хр.Дуссе-Алинь,юж.скл,ел-зеленомошник",,,темнохвойный лес,скальные выходы,06.09.1990,"Хасанов,Тверетинова","51,59","134,53"
114903,D Хаб р ВерБур 18.8.89,Гер.МГУ,Rh dahuricum,хабаровский край,Верхнебуреинский р-н,"хр.Дуссе-Алинь,р.Лан,юж.крутоу склон",,,,скальные выходы,18.08.1989,Курилин,"51,4","134,34"
114889,D Хаб р Туг-Чум,Гер.МГУ,Rh dahuricum,хабаровский край,Тугуро-чумиканский р-н,"хр.Джугджур,дол.р.Джзангин",,,,,11.08.2010,Дубов,"55,550507","134,398639"
114891,D Хаб р. Комс Амур 22.5. 76,Гер.МГУ,Rh dahuricum,хабаровский край,Комсомольск-на-Амуре,,,,лиственичник,,22.05.1976,Харкевич,,
114886,D Хаб.к Хабар 31.7.26,Гер.МГУ,Rh dahuricum,хабаровский край,"окр.Хабаровска""Сопки""",склон холма,,,,сопка,31.07.1926,Абрамов,,
114888,D Хабар к. Вер-Бур. р. 5.8.90,Гер.МГУ,Rh dahuricum,хабаровский край,Верхнебуреинский р-н,устье р.Курайтатны,,,темнохвойный лес,,05.08.1990,,,
114940,D Чита 31.05.58,Гер.МГУ,Rh dahuricum,Читинская обл.,Коринский р-н,"п.Букукун,зап.склон",,,,склон горы,31.05.1958,Блохин,"49,441501","111,12683"
114970,D Читинск 1.8.47,Гер.МГУ,Rh mucronulatum,Читинская обл.,близ д.Ключи,"лиственничная тайга,подлесок",,,лиственичник,,01.08.1958,Горелов,,
114994,D Читинск 1.09.59,Гер.МГУ,Rh dahuricum,Читинская обл.,хр.Яблоновский,на сопке около гольца,,,,,01.09.1939,"Шемелин,Сергиевская",,
114952,D Читинск 6.08.89,Гер.МГУ,Rh dahuricum,Читинская обл.,Чарская котловина,"п.Удокан,лиственничник",,,лиственичник,склон горы,06.08.1989,Филин,"56,743095","118,307966"
114943,D Читинск 1930,Гер.МГУ,Rh dahuricum,Читинская обл.,Хилокский р-н,бл.ст.Сохондо,,,,,13.04.1905,Яковлев,"51,816885", 112.526219
114945,D Чтитинск 16.7.63,Гер.МГУ,,Читинская обл.,Каларский р-н,"д.р.Катучна,лиственн.с рододендр.",,,лиственичник,,16.07.1963,Поповичев?,,
114915,D Якутия 7.8.86,Гер.МГУ,Rh dahuricum,Якутская АССР,Нерюнгринский горсовет,"л.б.р.Гонам,листв.родод-толокн-разнотрав",,,лиственичник,,07.08.1986,Петелин,"56,45","128,46"
114912,D Якутия 8.8.32,Гер.МГУ,,Якутия,Учурский р-н,"п.б.р.Учура,листвен.тайга,сухое место",,,лиственичник,,08.08.1932,Ильина,,
114920,D Якутск 1.9.51,Гер.МГУ,Rh dahuricum,Якутская АССР,Томмотский р-н,"л.б.р.Алдан,сосняк с родод.даурским",,,светлохвойный лес,,01.09.1945,Синягина,,
114917,D Якутск 2.7.52,Гер.МГУ,Rh dahuricum,Якутская АССР,Олекминский р-н,"водразд.р.Кырамда,сосн.-голуб-брусн.",,,светлохвойный лес,,21.08.1952,"Кубаев,Николаев","60,367231","120,109611"
114919,D Якутск 1953,Гер.МГУ,Rh dahuricum,Якутская АССР,Алданский р-н,"п.б.р.Ченгра,лиственничный лес",,,лиственичник,,24.06.1953,Приземина,,
114883,D!!!!! Хабар верх-бур запов 14.08.89,Гер.МГУ,Rh dahuricum,хабаровский край,Верхнебуреинский р-н,"хр.Дуссе-алинь,дол.Лев.Буреи,ельнник",,,темнохвойный лес,,14.08.1989,Хасанов,"51,4","134,22"
114872,D.M. Амурск Архар,Гер.МГУ,Rh dahuricum,Амурская обл.,Архаринский р-н,окр.с.Кундур,,,,,29.08.1982,Ященкова,,
114900,D.S Хаб к Аяномай 2.9.86,Гер.МГУ,Rh dahuricum,хабаровский край,Аяно-Майский р-н,"вод.разд.р.Алгама,с-з склон,сосн-беломш.",,,светлохвойный лес,,02.09.1986,Петелин,"57,19","131,17"
114914,D.S Якутия 2.6.57,Гер.МГУ,Rh dahuricum,Якутия,Олекминский р-н,"близ п.Олекминск,разреж.сосновый лес",,,светлохвойный лес,,02.06.1937,Макаров,"60,407767", 120.367958
114966,D.S. Забайк 31ю7ю12,Гер.МГУ,Rh dahuricum,,Бадары,близ с.Шимкова,,,,,31.07.1012,К.Мейер,"51,760078","102,247265"
114989,D Алтай запов 21.07.59,Гер.МГУ,Rh dahuricum,республика Алтай,Улаганский район,левобережный склон ущелья реки Чири,,,,,21.07.1959,Шведчикова,"51,361825","87,832658"
115006,D Алтай Улганск р. 1108083,Гер.МГУ,Rh dahuricum,республика Алтай,Улаганский район,около с. Усть-Улаган,,,,,11.08.1983,Данилов,"50,3","87,1"
114994,D.S Алтай 8.06.59,Гер.МГУ,Rh dahuricum,республика Алтай,Улаганский район,5 км к СВ от с. Акташа,,,,склон горы,08.06.1959,Смирнов,"50,357424","87,686121"
117977,D.S Алтай гсос запов 2.06.35,Гер.МГУ,Rh dahuricum,республика Алтай,Турочакский район,урочеще Яйлю,,,,скалистый берег реки,02.06.1935,"Травникова, Гончарова","51,766798", 87.598878
115011,D.S. Алтай 9.8.62,Гер.МГУ,Rh dahuricum,республика Алтай,Онгудайский район,перевал Чике-Таман,,,лиственичник,,00/00/1962,"Сабитова, Куваев","50,644633", 86.312209
115005,D.S. Алтай запов 18.6.34,Гер.МГУ,Rh dahuricum,республика Алтай,Турочакский район,урочеще Яйлю,,,,скалистый берег реки,18.06.1936,Гончарова,"51,765696","87,590704"
114990,D.S. Алтай запов 23.07.59,Гер.МГУ,Rh dahuricum,республика Алтай,Улаганский район,урочище Чири,,,,скалистый берег реки,23.07.1959,Шведчикова,"51,361677","87,834707"
114980,D.S. Алтай Онгуд. р. 9.08.84,Гер.МГУ,Rh dahuricum,республика Алтай,Онгудайский район,Семинский хребет,,,светлохвойный лес,скальные выходы,09.08.1984,"Пшеничная, Ливенцова","50,8","86,2"
115008,D.S. Горный Алтай Онгуд.р. 2.08.08,Гер.МГУ,Rh dahuricum,республика Алтай,Онгудайский район,окр. Пос. Белый Бом,,,светлохвойный лес,,02.08.2008,"Серегин, Серегина","50,369444","87,038889"
114858,Лидебура Алтай 9.06.52,Гер.МГУ,Rh ledebourii,республика Алтай,Онгудайский район,перевал Чике-Таман,,,,,09.06.1952,Гордеева,"50,645106","86,312394"
114856,Лидебура Алтай 11.09.62,Гер.МГУ,Rh ledebourii,республика Алтай,Онгудайский район,Хабаровка-Купчегень,,,лиственичик,,11.09.1962,Киселева,,
114854,Лидебура Алтай 27.05.56,Гер.МГУ,Rh ledebourii,республика Алтай,Кош-Агачинский район,,,,,,27.05.1956,Мерзлякова,,
114857,Лидебура Алтай 30.08.62,Гер.МГУ,Rh ledebourii,республика Алтай,,река Катунь,,,,,30.08.1962,Суворова,,
114887,D.S Тыва 5.07.76,Гер.МГУ,Rh dahuricum,республика Тыва,Пий-Хемский район,"Уюкский хребет, долина р. Борлуг",,,лиственичник,,05.07.1976,"Ломоносова, Чооду",,
114975,"D.S Тыва, П-Х р. 05.07.79",Гер.МГУ,Rh dahuricum,республика Тыва,Пий-Хемский район,"окр. С. Аржаан, долина р. Чинжаш",,,лиственичник,,05.07.1976,"Ломоносова, Чооду","52,050386","93,607404"
115003,D.S Улуг-Хемс р. 29.07.46,Гер.МГУ,Rh dahuricum,республика Тыва,Усть-Хемский район,р. Баингольчик,,,широколиственный лес,,29.07.1946,Шретер,,
114979,D.S. Зап. Саяны Тувин. 16.08.77,Гер.МГУ,Rh dahuricum,республика Тыва,Дзун-Хемчикский район,"с. Бажин-Алаак, река Чадан",,,,,16.08.1997,"Короткова, Данилкин","51,237513","91,73657"
114997,D.S. Тыва 4.06.1972,Гер.МГУ,Rh dahuricum,республика Тыва,Тес-Хемский район,"в. Танну-Ола, по дороге к оз. Кара-Холь",,,лиственичник,,04.06.1972,Ханминчун,,
115002,D.S. Тува 17.07.79,Гер.МГУ,Rh dahuricum,республика Тыва,Улуг-Хемский район,правый приток р. Сенек,,,,,17.07.1979,"Ломоносова, Красников",,
115009,D.S. Тува зю Саяны,Гер.МГУ,Rh dahuricum,республика Тыва,Сут-Хольский район,верховье реки Алды-Соор,,,,скальные выходы,23.07.1970,"Красноборов, Мерзлякова","51,606358","91,411416"
114978,D.S.L. Тувин Зап саян 3.08.77,Гер.МГУ,Rh dahuricum,республика Тыва,Сут-Хольский район,вверх реки Куже,,,лиственичник,,03.08.1977,"Красноборов, Кружевская",,
114855,Лидебура Саяны 10.7.78,Гер.МГУ,Rh dahuricum,республика Тыва,Сут-Хольский район,река Стерлиг,,,смешанный лес,,10.07.1978,"Шауло, Ковалёва",,
