№; листа,имя файла,Место хранения гербарного листа,Вид,Административное деление,Территориальное деление,Территориальное деление № 2,Экологические условия,Экологические условия,,Почвенные условия,Дата сбора,Кто собрал,N,E
num,image,source,species,region,district,place,,,forest_type,soil_type,collection_date,collectors,latitude,longitude
,DSC02906,БСИ,Rh dahuricum,Забайкальский край,Железнодорожный район,окр.с. Ивановка,,,,,16.07.2004,,52.127513,113.301656
,DSC02907,БСИ,Rh dahuricum,Забайкальский край,Железнодорожный район,окр.с. Ивановка,,,,,15.07.2004,,52.127513,113.301656
,DSC02908,БСИ,Rh dahuricum,приморский край,Пограничный район,окр.п.Духовское сопка Любви с-з,,,дубняк,,18.06.2005,,"44,58673","131,544104"
,DSC02909,БСИ,Rh dahuricum,приморский край,Пограничный район,"п. Духовское, сопка Любви",,,дубняк,,18.06.2005,,"44,58673","131,544104"
,DSC02910,БСИ,Rh mucronulatum,приморский край,Ханкайский район,окр.п.Турий Рог,,,дубняк ,,22.06.2005,,45.244082,131.989953
,DSC02912,БСИ,Rh dahuricum,приморский край,Пограничный район,окр.п.Духовское сопка Любви,,,дубняк,,18.06.2005,,"44,58673","131,544104"
,DSC02913,БСИ,Rh mucronulatum,приморский край,Ханкайский район,п.Турий Рог,,,дубняк,,22.06.2005,,45.244082,131.989953
,DSC02914,БСИ,Rh mucronulatum,приморский край,Ханкайский район,п.Турий Рог,,,дубняк ,,22.06.2005,,45.244082,131.989953
,DSC02915,БСИ,Rh mucronulatum,приморский край,о.Русский,с-з часть искусств. О. Елены,,,широколиственный лес,,22.07.1999,"В.А.Недолужко, Н.И.Денисов",,
,DSC02916,БСИ,Rh mucronulatum,приморский край,о.Русский,"ю-з часть,около бух.Боярин",,,широколиственный лес,,19.07.98,В.А.Недолужко,,
,DSC02917,БСИ,Rh dahuricum,Забайкальский край,Кыринский район,"Даурия,Верхн.Букукун",,,лиственичник,,19.07.2001,"А.В.Галанин,А.В.Беликович","49,452356","111,126174"
,DSC02918,БСИ,Rh dahuricum,Забайкальский край,Дульдургинский район,"верх.р.Иля,р.Никсанда парк Алханай",,,смешанный лес,склон горы,,,"50,731858","113,475079"
,DSC02919,БСИ,Rh dahuricum,Забайкальский край,Красночикойский район,"перев.Этечтей,Шергольджин",,,смешанный лес,склон горы,14.07.2006,"А.В.Галанин,А.В.Беликович","50,195404","108,291621"
,DSC02920,БСИ,Rh dahuricum,Забайкальский край,Читинская область,"р.Ингода,окр.с.Табаурова",,,смешанный лес,склон горы,06.07.2006,"А.В.Галанин,А.В.Беликович","51,600399","112,958922"
